,CVProcessado,vidaInstalacao,vidaHidrometro,hid_imo_qtd_pontos_utilizacao,QtdMedicoes,QtdOcorrencias,qtd_instalacao,variacaoTendencia,bhc_dsc_status,IDHidrometro
22,0.0,1.0,11.0,10.0,6.0,0.0,2.0,0.6666666666666667,0,A06F263457
47,0.0,1.0,11.0,10.0,6.0,0.0,2.0,0.6666666666666667,0,A06F263457
50,0.6995139337123507,8.0,8.0,6.0,25.0,0.0,1.0,-0.09090909090909094,1,A11N318087
52,1.1882916464559687,1.0,1.0,2.0,5.0,1.0,1.0,0.0,1,A18N191050
53,0.8141168793701691,1.0,2.0,5.0,3.0,0.0,1.0,0.0,1,A17S268463
54,1.0353090248962773,8.0,15.0,6.0,25.0,3.0,1.0,2.5789473684210527,1,A04S013449
56,0.14861618755390849,4.0,5.0,3.0,25.0,0.0,1.0,0.04081632653061229,1,A14F247688
57,0.5553408978621532,5.0,5.0,4.0,25.0,0.0,1.0,1.955223880597015,0,A14F376235
58,0.8293703872289939,11.0,17.0,4.0,25.0,10.0,1.0,0.7708333333333333,1,A02L328969
59,0.42969891305069796,3.0,6.0,1.0,25.0,2.0,2.0,0.18947368421052624,0,A13F236020
60,1.6430447269074213,5.0,5.0,7.0,25.0,6.0,1.0,0.6071428571428572,1,A14F202530
62,0.03822198817224581,1.0,1.0,6.0,3.0,0.0,1.0,0.0,1,A18N294482
63,0.9775395800674742,5.0,5.0,4.0,25.0,3.0,1.0,0.6666666666666667,1,A14F413997
64,0.7738706681842268,6.0,7.0,5.0,25.0,0.0,1.0,0.0,1,A12F371069
65,0.23897121557570822,2.0,3.0,6.0,24.0,0.0,1.0,0.3700000000000001,1,A16F241527
66,0.176387984915672,1.0,2.0,1.0,12.0,0.0,1.0,0.5763888888888888,1,A17N278685
67,0.14997116216449366,1.0,1.0,2.0,5.0,1.0,1.0,0.0,1,A18N194027
68,0.28525010902888825,5.0,6.0,5.0,25.0,0.0,1.0,0.5920000000000001,0,A13F242490
69,0.5726786493946786,2.0,3.0,3.0,21.0,0.0,1.0,1.1369863013698631,1,A16F275890
70,0.3339332760991917,6.0,7.0,1.0,25.0,2.0,1.0,1.2465753424657535,0,A12F370910
71,0.6459974597274082,2.0,3.0,5.0,24.0,0.0,1.0,3.012987012987013,0,A16F241520
73,0.990191381397416,5.0,5.0,5.0,25.0,5.0,1.0,1.2765957446808511,0,A14F406741
76,0.3609356118991897,3.0,13.0,6.0,25.0,2.0,2.0,0.1875,1,A06F325280
77,0.9451293687574505,3.0,13.0,6.0,25.0,0.0,2.0,1.8860759493670884,0,A06F314915
78,0.5786052713126303,2.0,3.0,5.0,24.0,1.0,1.0,0.4152542372881356,1,A16F260104
79,0.11574639606607634,3.0,12.0,7.0,25.0,0.0,2.0,0.0,1,A07F330324
80,0.1026119402985074,3.0,3.0,10.0,25.0,0.0,1.0,0.023121387283236983,1,A16F147397
81,0.5153303632441079,3.0,13.0,4.0,25.0,0.0,2.0,1.0804597701149423,0,A06F441090
82,0.28793417171218716,8.0,9.0,6.0,25.0,1.0,1.0,1.0,0,A10F551823
84,0.3879698410385206,1.0,1.0,5.0,6.0,0.0,1.0,0.012820512820512775,1,A18N194319
86,0.537301214617666,3.0,12.0,3.0,25.0,0.0,2.0,1.7400000000000002,0,A07F332861
87,0.1255109280847012,5.0,5.0,5.0,25.0,0.0,1.0,0.2578947368421052,0,A14F414552
88,0.8236679558482795,1.0,1.0,9.0,5.0,1.0,1.0,0.0,1,A18N193779
89,0.150698360387897,6.0,6.0,5.0,25.0,1.0,1.0,0.14685314685314688,0,A13F203744
90,1.4462969886399346,2.0,8.0,5.0,14.0,1.0,2.0,0.0,0,A11F193714
91,1.4462969886399346,2.0,8.0,5.0,14.0,1.0,2.0,0.0,0,A11F193714
93,0.3831109026364503,11.0,11.0,15.0,25.0,7.0,1.0,0.008130081300812941,1,A08F415711
95,0.35484505159271645,3.0,3.0,5.0,25.0,0.0,1.0,0.5909090909090908,0,A16F145951
96,0.5296893542699173,3.0,13.0,3.0,25.0,1.0,2.0,1.3571428571428572,0,A06F316498
100,0.15940240695254848,3.0,3.0,4.0,24.0,3.0,1.0,0.02145922746781115,0,A16F127618
101,0.1667156479549132,8.0,9.0,2.0,24.0,1.0,1.0,0.3233830845771144,0,A10F201835
104,0.45985398286162954,4.0,4.0,5.0,25.0,1.0,1.0,0.22297297297297303,0,A15F018283
105,1.0512953455904344,11.0,11.0,1.0,25.0,0.0,1.0,-0.26436781609195403,0,A08F363517
106,0.653823020683389,3.0,15.0,4.0,25.0,1.0,1.0,0.8983050847457628,1,A04L329150
108,0.24893007034456774,5.0,5.0,3.0,25.0,0.0,1.0,0.3272727272727274,0,A14F203070
109,0.17100860091044762,1.0,1.0,6.0,9.0,0.0,1.0,0.4608695652173913,1,A18N050022
111,0.9779501997570098,1.0,11.0,5.0,18.0,0.0,2.0,1.4545454545454546,0,A08F072758
112,0.9779501997570098,1.0,11.0,5.0,18.0,0.0,2.0,1.4545454545454546,0,A08F072758
113,1.0397193086828391,4.0,4.0,8.0,25.0,0.0,1.0,2.9375,0,A15F209461
116,0.3861910036091408,2.0,11.0,1.0,21.0,1.0,2.0,0.6267605633802817,0,A08F057326
117,0.3151043956244406,1.0,11.0,3.0,15.0,1.0,2.0,0.33333333333333326,0,A08F419735
118,0.3151043956244406,1.0,11.0,1.0,15.0,1.0,2.0,0.33333333333333326,0,A08F419735
119,0.5269622383817195,6.0,7.0,15.0,25.0,0.0,1.0,1.203125,1,A12F372305
120,1.352611154823568,6.0,7.0,18.0,25.0,0.0,1.0,2.8661417322834644,0,A12F372245
121,1.0214960313245638,1.0,2.0,5.0,12.0,0.0,1.0,1.3260869565217392,1,A17F100381
123,0.4583259350728657,10.0,15.0,1.0,25.0,0.0,1.0,0.6043956043956045,0,A04L623853
124,1.6214563464729062,1.0,1.0,12.0,6.0,0.0,1.0,0.5846994535519126,1,A18N149464
125,1.0663089216247383,9.0,9.0,9.0,25.0,2.0,1.0,2.2708333333333335,0,A10F211073
126,0.9274981450055648,11.0,20.0,1.0,25.0,0.0,1.0,-0.1009174311926605,0,A99S441309
127,1.2860596697531275,9.0,9.0,3.0,25.0,1.0,1.0,2.1363636363636362,0,A10F052006
129,0.07752349105127632,3.0,10.0,1079.0,25.0,0.0,2.0,-0.040935672514619936,0,D09S004479
130,0.12417859164714141,2.0,4.0,1109.0,14.0,0.0,1.0,0.10828025477707004,1,E15L003998
131,0.7249208175368383,3.0,13.0,767.0,25.0,0.0,2.0,0.8281845112145578,1,F06L000950
132,0.6166892133669823,6.0,7.0,16.0,25.0,0.0,1.0,-0.3846153846153846,0,A12F218660
133,0.38376535850635324,4.0,4.0,10.0,25.0,0.0,1.0,0.15333333333333332,0,A15F108102
134,0.4622895437796913,1.0,2.0,6.0,11.0,0.0,1.0,0.34615384615384626,1,A17N300907
137,1.3187102086292026,3.0,13.0,6.0,25.0,0.0,2.0,1.870967741935484,1,A06F310314
139,0.22227564263159322,2.0,2.0,7.0,13.0,0.0,1.0,0.4247787610619469,1,A17F109246
140,0.3200199047042024,2.0,2.0,10.0,21.0,0.0,1.0,0.7906976744186047,1,A17F022686
141,0.9796272669329706,5.0,10.0,14.0,25.0,0.0,2.0,0.7547169811320755,0,A09F240749
142,0.3019501459812081,1.0,1.0,23.0,10.0,0.0,1.0,0.030612244897959107,0,A18N018969
143,0.6119013957366435,4.0,4.0,13.0,25.0,0.0,1.0,0.1123595505617978,0,A15F018464
144,1.4597098380598155,1.0,1.0,10.0,7.0,0.0,1.0,2.734042553191489,1,A18N090234
145,0.32037494320611676,3.0,3.0,6.0,25.0,0.0,1.0,-0.26724137931034486,0,A16F150839
146,0.5433112973014652,2.0,2.0,8.0,13.0,0.0,1.0,-0.3380281690140845,1,A17F113687
147,0.8966866726216586,5.0,5.0,7.0,25.0,0.0,1.0,1.0259740259740258,0,A14F204633
149,0.6664970592989431,5.0,5.0,5.0,25.0,1.0,1.0,0.02898550724637672,1,A14F306394
151,0.10254181422312533,7.0,8.0,11.0,25.0,1.0,1.0,0.10596026490066235,0,A11F229231
152,1.1043938936791677,5.0,11.0,17.0,25.0,3.0,2.0,1.8250000000000002,0,A08F455808
153,0.12865196804680426,5.0,5.0,10.0,25.0,0.0,1.0,0.3904109589041096,0,A14F407676
154,1.5231409863638443,11.0,11.0,12.0,25.0,8.0,1.0,0.2584269662921348,0,A08F450988
156,0.33097836621945265,11.0,17.0,3.0,25.0,1.0,1.0,0.19178082191780832,0,A02S201534
157,0.22194944231372407,7.0,8.0,4.0,25.0,0.0,1.0,0.48888888888888893,0,A11F229109
158,0.20138460333690814,2.0,2.0,5.0,14.0,0.0,1.0,0.5555555555555556,1,A17F092366
160,0.3334486702318586,7.0,7.0,4.0,25.0,0.0,1.0,0.6074766355140186,0,A12F098706
162,0.2116196902843792,5.0,7.0,738.0,25.0,0.0,1.0,0.08878504672897192,0,C12L004073
163,0.1513012994934778,3.0,15.0,146.0,25.0,1.0,2.0,-0.005464480874316946,1,C04S002682
165,1.396829187412054,5.0,5.0,30.0,25.0,9.0,1.0,-0.503921568627451,0,A14F304006
166,1.3065199305492798,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1,A18N308400
167,0.9580329704285905,9.0,9.0,35.0,25.0,0.0,1.0,1.5704225352112675,0,A10F169707
169,0.4708812236120271,5.0,12.0,18.0,25.0,19.0,2.0,0.32456140350877183,0,A07F335410
170,0.30738583912563683,4.0,4.0,25.0,25.0,0.0,1.0,0.7619047619047619,0,A15F017280
172,0.9798497229973053,5.0,11.0,684.0,25.0,5.0,1.0,0.14019388516032816,0,F08S003174
173,0.10503805239964886,3.0,10.0,81.0,25.0,0.0,2.0,0.1869158878504673,0,A09F038598
174,0.5728409246552797,8.0,17.0,19.0,25.0,1.0,1.0,0.3305785123966942,1,A02S685466
175,0.3583957058122298,5.0,5.0,5.0,25.0,0.0,1.0,0.24242424242424243,0,A14F408550
176,0.04285495643554834,1.0,1.0,3.0,3.0,0.0,1.0,0.0,1,A18N187559
177,0.7587444186772357,2.0,11.0,5.0,19.0,0.0,2.0,0.8533333333333333,1,A08F495965
178,0.4049547417762642,7.0,13.0,18.0,25.0,0.0,1.0,-0.08403361344537819,0,A06S703972
179,0.05587260669577023,1.0,1.0,1.0,3.0,0.0,1.0,0.0,1,A18N187473
180,1.0405960968052834,1.0,1.0,5.0,4.0,2.0,1.0,0.0,1,A18N142675
181,0.9983983515632459,1.0,1.0,5.0,4.0,1.0,1.0,0.0,1,A18N142567
182,0.4795187917120019,1.0,1.0,8.0,10.0,0.0,1.0,0.679245283018868,1,A18N037757
184,0.08882158159142059,1.0,1.0,13.0,4.0,0.0,1.0,0.0,1,A18N210268
185,0.8235210758199895,3.0,13.0,18.0,25.0,0.0,2.0,0.3262411347517731,1,A06F299457
187,0.5880558160969694,10.0,10.0,7.0,25.0,0.0,1.0,1.1016949152542375,0,A09F215502
189,0.08333333333333333,1.0,1.0,15.0,4.0,0.0,1.0,0.0,1,A18N180806
190,0.4676961279028083,1.0,1.0,25.0,5.0,0.0,1.0,0.0,0,A18N180896
