dataVerificacao,dataVerificacaoINI,IDHidrometro
201802,201601,A06F292000
201802,201601,A17F112402
201802,201601,A13F200471
201802,201601,A12F352938
201802,201601,A15F136639
201802,201601,A04S405235
201802,201601,A01N660019
201802,201601,A15F255708
201802,201601,A09F041538
201802,201601,A10F039348
201802,201601,A08F410587
201802,201601,A03S065424
201802,201601,A06F447279
201802,201601,A09F125727
201802,201601,A03S147821
201802,201601,A04S218162
201802,201601,A17F089169
201802,201601,C03S000880
201802,201601,D14L005084
201803,201602,F09S006466
201803,201602,A07F315839
201803,201602,A03S022769
201803,201602,A11F288378 
201803,201602,A07S623885
201803,201602,A04S428382
201803,201602,A16F147543 
201803,201602,A15F078186 
201803,201602,A12F349788 
201803,201602,A16F148347 
201803,201602,A15F199170
201803,201602,A17F000211
201803,201602,A06F407611
201803,201602,A14F245121 
201803,201602,A15F022293 
201803,201602,A10F551413
201803,201602,A12F355877 
201803,201602,A14F286702 
201803,201602,A14F208870 
201803,201602,A14F312125 
201803,201602,A09F220923 
201803,201602,A06S463420 
201803,201602,A01S009825 
201803,201602,A08F222652 
201803,201602,A15F115380 
201803,201602,A12F373552 
201803,201602,A10F125094 
201803,201602,A05F327927 
201804,201603,D12L002379
201804,201603,A14F443704
201804,201603,A08F057307 
201804,201603,A03S212710 
201804,201603,A10F257976 
201804,201603,A16F258195 
201804,201603,A13F234868 
201804,201603,A14F413127 
201804,201603,A16F257127 
201804,201603,A06S755911 
201804,201603,A15F162610 
201804,201603,A10F524277 
201804,201603,A09F254920 
201804,201603,A12F288002 
201804,201603,A08F359958 
201804,201603,A07F209592 
201804,201603,A15F017432 
201804,201603,A09F242161 
201804,201603,A11F187645 
201804,201603,A15F109288 
201804,201603,A11N246090 
201805,201604,C10S012138
201805,201604,F16S003090
201805,201604,A06F311462
201805,201604,A09F115917 
201805,201604,A04L194516
201805,201604,A15F132905 
201805,201604,A10F044865
201805,201604,A17F063993
201805,201604,A17F063988
201805,201604,A16F275913
201805,201604,A13F232447
201805,201604,A05F326214
201805,201604,A02S131267
201805,201604,A17F067840
201805,201604,A17F072251
201805,201604,A10F559957
201805,201604,A17F069522
201805,201604,A06F409589
201805,201604,A06F388567
201805,201604,A10F009815
201805,201604,A00S297621
201805,201604,A06F363964
201808,201607,A08F352860
201808,201607,A12F271941
201808,201607,A16F241512
201808,201607,A16F053446
201808,201607,A11F231573
201808,201607,A11F188502
201808,201607,A00S643791
201808,201607,A04S259219
201808,201607,A08F458057
201808,201607,A09F043585
201808,201607,A06F443986
201808,201607,A15F137840
201808,201607,A06S519993
201808,201607,A08F224524
201808,201607,A14F405331
201808,201607,A08F290778
201808,201607,A14F438035
201808,201607,A08F403264
201808,201607,A07S240335
201808,201607,A12F271067
201809,201608,A10F006410
201809,201608,A14F414359
201809,201608,A13F240082
201809,201608,A15F258960
201809,201608,A16F260824
201809,201608,A17F060265
201809,201608,A06S800403
201809,201608,A14F114531
201809,201608,A08F459882
201809,201608,A10F549429
201809,201608,A13L265657
201809,201608,A10F549531
201809,201608,A17F067770
201809,201608,A10F085312
201809,201608,A17F072204
201810,201609,C13L000252
201810,201609,A15F258334
201810,201609,A04S261457
201810,201609,A06F282651
201810,201609,A04S405275
201810,201609,A17F069476
201810,201609,A03S450124
201810,201609,A08F063534
201810,201609,A16F058553
201810,201609,A12F285795
201810,201609,A15F077724
201810,201609,A10S738803
201810,201609,A10L225305
201810,201609,A07F269388
201810,201609,A08F213077
201810,201609,A12F191159
201810,201609,A08F238798
201810,201609,A10F088690
201810,201609,A09F044043
201810,201609,A10F043361
201810,201609,A11F220530
201810,201609,A08F217575
201810,201609,A08F410772
201810,201609,A14F442920
201810,201609,A08F065837
201810,201609,A05F116291
201810,201609,A00S617998
201810,201609,A12F226904
201811,201610,A07F347043
201811,201610,A09F311095
201811,201610,A06S521836
201811,201610,A17F071455
201811,201610,A14F075978
201811,201610,A06F354494
201811,201610,A14F075962
201811,201610,A17F064410
201811,201610,A13F273670
201811,201610,A12F093597
201811,201610,A15F245951
201811,201610,A14F399584
201811,201610,A13F240505
201811,201610,A15S160853
201811,201610,A10F035631
201811,201610,A14F412021
201811,201610,A02S224600
201811,201610,A04S051709
201811,201610,A06S755261
201811,201610,A07S038683
201811,201610,A07F233542
201811,201610,A17F061607
201811,201610,A10F092731
201811,201610,A06F313314
201811,201610,A12F347751
201812,201611,D10S003465
201812,201611,A06F371125
201812,201611,A10F251604
201812,201611,A17F069064
201812,201611,A14F000115
201812,201611,A14F395420
201812,201611,A16F122324
201812,201611,A09F210293
201812,201611,A17F023203
201812,201611,A17F063734
201812,201611,A14F239430
201812,201611,A15F108100
201812,201611,A10F047570
201812,201611,A09F310858
201812,201611,A10F503612
201812,201611,A14L033778
201812,201611,A06F415684
201812,201611,A10F039004
201812,201611,A12F227068
201812,201611,A15F239005
201812,201611,A15F010433
