UN,dataVerificacao,idHidro,ANOINSTALACAO,Qn,Qt ,Qmín,Status,TIPOREPROVACAO,IMPEDIMENTO
MTO,02/01/18,A06F292000,14/03/17,"-0,80","-2,00","-2,00",AP,,
MTO,02/01/18,A17F112402,23/09/17,"0,70","1,00","0,00",AP,,
MTO,02/01/18,A13F200471,28/11/13,"-0,40","-2,00","-2,60",AP,,
MTO,02/01/18,A12F352938,08/04/13,"-0,10","-1,00","-10,00",AP,,
MTO,02/01/18,A15F136639,22/06/15,"-1,50","-1,00","-20,00",RP1,N,
MTN,02/01/18,A04S405235,16/10/12,"0,60","0,80","-5,80",AP,,
MTN,02/01/18,A01N660019,31/05/10,"-1,80","-3,00","-27,00",RP1,N,
MTO,02/01/18,A15F255708,02/03/16,"-1,04","-1,60","-18,40",RP1,N,
MTN,02/01/18,A09F041538,14/07/12,"-0,70","-2,40","-20,00",RP1,N,
MTN,02/01/18,A10F039348,04/05/10,"-1,00","-4,00","-29,00",RP1,N,
GCOPE MED,02/01/18,A08F410587,30/08/14,"-4,40","-2,00","-20,00",RP1,N,
MTN,02/01/18,A03S065424,02/05/11,"-8,54","-9,00","-18,40",RP3,N,
MTN,02/01/18,A06F447279,10/12/11,"-2,60","-6,00","-99,00",RP1,N,
MTN,02/01/18,A09F125727,10/07/09,"0,70","-2,00","-98,00",RP1,N,
MTN,02/01/18,A03S147821,07/12/10,"-1,96","-7,40","-4,60",RP1,N,
MTN,02/01/18,A04S218162,08/11/11,"-1,46","0,80","-0,60",AP,,
MTN,02/01/18,A17F089169,03/10/17,"-0,86","0,60","-3,00",AP,,
MTS,02/01/18,C03S000880,21/10/16,"5,44","3,00","-10,60",RP2,P,
MTO,02/01/18,D14L005084,23/12/16,"4,00","3,20","0,00",AP,,
MTL,03/01/18,F09S006466,23/10/15,"-1,28","0,00","3,00",AP,,
MTN,03/01/18,A07F315839,28/06/17,"-1,08","1,00","3,00",AP,,
MTN,03/01/18,A03S022769,29/04/11,"-1,60","-4,00","-7,00",AP,,
MTN,03/01/18,A11F288378 ,22/03/12,"9,20","8,00","-11,00",RP3,P,
MTN,03/01/18,A07S623885,05/01/13,"0,50","-0,20","-99,80",RP1,N,
MTN,03/01/18,A04S428382,17/10/13,"-1,00","-1,00","-4,00",AP,,
MTL,03/01/18,A16F147543 ,31/08/16,"-0,06","1,00","0,00",AP,,
