UN,Data da Verificação,Hidrômetro No,Ano de Inst.,Qn,Qt ,Qmín,Status,REP P/N
MTO,02/01/19,A11N318087,03/11/11,"0,7","0,9","0,6",AP,
MTO,02/01/19,A17F056434,08/05/18,"1,2",0,1,AP,
MTS,02/01/19,A18N191050,21/08/18,"0,54","0,2","4,4",AP,
MTS,02/01/19,A17S268463,30/10/18,"0,06","0,4","1,4",AP,
MTS,02/01/19,A04S013449,11/04/11,2,"0,4","2,4",AP,
,02/01/19,A02S024949,,"0,66",1,"23,8",RP1,N
BCL,02/01/19,A14F247688,06/01/15,"2,94","0,6",5,AP,
MTL,02/01/19,A14F376235,27/10/14,"1,4",2,21,RP1,N
MTS,02/01/19,A02L328969,17/11/08,2,"4,4","1,4",AP,
MTS,02/01/19,A13F236020,26/11/16,"0,56","1,6",11,RP1,N
MTL,02/01/19,A14F202530,11/06/14,"1,7","0,4","5,8",AP,
MTS,02/01/19,A09F257384,10/12/09,"1,74",1,"6,4",AP,
MTS,02/01/19,A18N294482,10/10/18,"0,66",0,"0,6",AP,
MTS,02/01/19,A14F413997,19/12/14,"0,56",2,"0,4",AP,
MTS,03/01/19,A12F371069,12/08/13,"0,1",0,9,AP,
MTS,03/01/19,A16F241527,17/01/17,"0,04","1,2",1,AP,
MTS,03/01/19,A17N278685,11/01/18,"0,56","1,6",1,AP,
MTS,03/01/19,A18N194027,03/08/18,"1,2","0,6","1,2",AP,
MTS,03/01/19,A13F242490,25/02/14,"0,1",4,"46,6",RP1,N
MTS,03/01/19,A16F275890,13/04/17,"0,64","0,6","1,4",AP,
MTS,03/01/19,A12F370910,15/05/13,"1,8","1,6","11,8",RP1,N
MTS,03/01/19,A16F241520,18/01/17,"0,76",3,"38,6",RP1,N
MTS,03/01/19,A07F329433,12/02/08,"1,1","17,6",100,RP2,N
MTS,03/01/19,A14F406741,11/12/14,"1,4",4,100,RP1,N
MTL,03/01/19,A18N175120,16/11/18,"0,94",2,"9,8",AP,
MTL,03/01/19,A09F256077,27/01/10,"0,76",0,5,AP,
MTL,03/01/19,A06F325280,17/05/16,"1,7",1,"0,4",AP,
MTL,03/01/19,A06F314915,27/05/16,"2,3","1,4",11,RP1,N
MTL,03/01/19,A16F260104,25/01/17,"1,1","3,2",0,AP,
MTL,03/01/19,A07F330324,02/04/16,"0,74",1,0,AP,
MTL,03/01/19,A16F147397,26/09/16,"2,2",0,0,AP,
MTL,03/01/19,A06F441090,08/08/16,0,1,"21,6",RP1,N
BME,03/01/19,A10F551823,23/11/11,"0,34","0,4","12,6",RP1,N
BME,03/01/19,A15F238380,29/08/15,"0,36",1,"31,6",RP1,N
BME,03/01/19,A18N194319,02/08/18,"3,24","0,6",4,AP,
BME,03/01/19,A06F307324,22/06/15,0,"1,4","2,4",AP,
MTL,04/01/19,A07F332861,01/11/16,"1,1","1,4",11,RP1,N
MTS,04/01/19,A14F414552,22/12/14,"1,94",2,"42,6",RP1,N
MTS,04/01/19,A18N193779,21/08/18,"0,14",1,0,AP,
MTS,04/01/19,A13F203744,26/12/13,"1,1","0,4",19,RP1,N
MTS,04/01/19,A11F193714,26/12/17,"9,86",11,"7,4",RP2,P
MTS,04/01/19,A07S262408,24/07/07,"2,36","4,4","26,6",RP1,N
MTS,04/01/19,A08F415711,24/09/08,"2,16","1,4","7,6",AP,
MTS,04/01/19,A08F360778,25/09/08,"1,14","62,6",100,RP2,N
MTS,04/01/19,A16F145951,15/09/16,"2,16","37,6",100,RP2,N
MTS,04/01/19,A06F316498,08/04/16,"1,6","0,6",25,RP1,N
MTS,04/01/19,A12F356093,18/03/13,"0,46","1,4",10,AP,
BME,04/01/19,A11N243312,29/09/11,"6,44","9,1","7,5",RP2,P
BME,04/01/19,A02S201569,08/07/11,,,,RP1,N
BME,04/01/19,A16F127618,19/10/16,"15,76",19,7,RP2,P
BME,04/01/19,A10F201835,05/08/11,,,,RP1,N
BME,04/01/19,A09F001661,03/07/09,"4,5",5,37,RP1,N
MTL,04/01/19,A07F237875,23/12/15,"0,96",1,"19,4",RP1,N
MTL,04/01/19,A15F018283,13/02/15,2,0,20,RP1,N
MTL,04/01/19,A08F363517,14/08/08,"12,04","10,6","44,4",RP3,N
MTL,04/01/19,A04L329150,14/05/16,"0,9",0,3,AP,
MTL,04/01/19,A12F283872,17/07/13,"5,4",3,"50,6",RP2,N
MTL,04/01/19,A14F203070,11/06/14,"0,1",0,19,RP1,N
MTL,04/01/19,A18N050022,19/04/18,"0,24",0,1,AP,
MTL,04/01/19,A13F270844,16/05/14,3,0,16,RP1,N
BSI,08/01/19,A08F072758,25/10/18,"0,48","3,4","59,6",RP1,N
BSI,08/01/19,A15F209461,14/10/15,0,"1,4","99,6",RP1,N
BSI,08/01/19,A17F014390,21/02/17,"1,26","0,2",20,RP1,N
BSI,08/01/19,A17F013583,28/04/17,"1,44","1,6",50,RP1,N
BSI,08/01/19,A08F057326,17/05/17,"0,92",1,"38,4",RP1,N
BSI,08/01/19,A08F419735,21/04/18,"0,6",0,"10,4",RP1,N
BME,08/01/19,A12F372305,24/10/13,"0,1",1,9,AP,
BME,08/01/19,A12F372245,28/11/13,"0,24",1,12,RP1,N
BME,08/01/19,A17F100381,05/01/18,"0,44",1,0,AP,
BME,08/01/19,A00S595733,16/03/09,"3,6","6,4","21,6",RP2,N
BME,08/01/19,A04L623853,13/03/09,"3,04","3,6","53,4",RP1,N
BME,08/01/19,A18N149464,09/07/18,"0,26",1,"1,4",AP,
BME,08/01/19,A10F211073,01/11/10,"0,14",1,"41,4",RP1,N
BME,08/01/19,A99S441309,03/11/08,"3,54","6,6","29,4",RP2,N
BME,08/01/19,A10F052006,17/06/10,,,,RP1,N
BME,08/01/19,A15F172264,04/08/16,"0,3","0,6","18,4",RP1,N
MTL,10/01/19,D09S004479,24/11/16,"3,46","21,2",100,RP2,N
MTL,10/01/19,E15L003998,07/11/17,"2,6",2,0,AP,
MTL,10/01/19,F06L000950,21/12/16,"2,7",0,"2,5",AP,
MTL,10/01/19,A12F218660,24/01/13,"0,54","1,2","31,4",RP1,N
