IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca
A00N321016,5375592,0.32228884,13,0,5,-0.14423077,19,10,0,0.5786,11,13.0,13.0,5375592,84,MARACANAU,MARACANAU,MARACANAU,UN-MTS,REGULAR,EM USO,1,1
A02S201271,6396526,0.18876311,13,0,1,0.01980198,17,9,0,0.5776,11,13.0,13.0,6396526,84,MARACANAU,MARACANAU,MARACANAU,UN-MTS,BASICO,EM USO,1,1
A03L015264,6929362,0.20342037,13,0,4,-0.15294118,16,10,0,0.597,11,10.0,10.0,6929362,84,MARACANAU,MARACANAU,MARACANAU,UN-MTS,REGULAR,EM USO,1,1
A03L147325,1826140,0.11444308,13,0,1,0.20454545,16,10,0,0.606,11,13.0,13.0,1826140,84,MARACANAU,MARACANAU,MARACANAU,UN-MTS,REGULAR,EM USO,1,1
A03S157863,14063107,0.17781846,26,0,7,-0.1,16,8,0,0.5625,11,9.0,9.0,14063107,84,MARACANAU,MARACANAU,MARACANAU,UN-MTS,ALTO,EM USO,1,1
A03S159205,6919693,0.08030201,13,1,6,-0.04761905,16,10,0,0.584,11,13.0,13.0,6919693,84,MARACANAU,MARACANAU,MARACANAU,UN-MTS,REGULAR,EM USO,1,1
A03S515061,8421897,0.40146416,13,4,4,0.09589041,16,10,0,0.594,11,10.0,10.0,8421897,84,MARACANAU,MARACANAU,MARACANAU,UN-MTS,BASICO,EM USO,1,1
A03S315629,6940277,0.32976687,13,3,1,0.6981132,16,10,0,0.6533,11,9.0,9.0,6940277,84,MARACANAU,MARACANAU,MARACANAU,UN-MTS,REGULAR,EM USO,1,1
A03S437566,5383773,0.17963548,13,0,2,-0.2413793,16,10,0,0.5894,11,9.0,9.0,5383773,84,MARACANAU,MARACANAU,MARACANAU,UN-MTS,BASICO,EM USO,1,1
A03S440580,7918070,0.15153535,13,0,3,0.035714287,16,10,0,0.621,11,15.0,15.0,7918070,84,MARACANAU,MARACANAU,MARACANAU,UN-MTS,BASICO,EM USO,1,1
