ITA_SEQ_ITEM_ATENDIMENTO,IMO_COD_INSCRICAO,ORIGEM
43571986,56287372,GERADO PELO SISTEMA
43531267,56053045,GERADO PELO MODELO
43531254,55954111,GERADO PELO MODELO
43531420,56533675,GERADO PELO MODELO
43572154,55958486,GERADO PELO SISTEMA
43531395,56279833,GERADO PELO MODELO
43531393,56279221,GERADO PELO MODELO
43531429,56585683,GERADO PELO MODELO
43531427,56569750,GERADO PELO MODELO
43531423,56548796,GERADO PELO MODELO
43572172,56279639,GERADO PELO SISTEMA
43531398,56286821,GERADO PELO MODELO
43572162,56547552,GERADO PELO SISTEMA
43531387,56275730,GERADO PELO MODELO
43531386,56275536,GERADO PELO MODELO
43531376,56224885,GERADO PELO MODELO
43531293,56128800,GERADO PELO MODELO
43531412,56460090,GERADO PELO MODELO
43571979,56275633,GERADO PELO SISTEMA
43531414,56474440,GERADO PELO MODELO
43572002,56218168,GERADO PELO SISTEMA
43531377,56226730,GERADO PELO MODELO
43531370,56221320,GERADO PELO MODELO
43531338,56184115,GERADO PELO MODELO
43572059,56227230,GERADO PELO SISTEMA
43572011,56221720,GERADO PELO SISTEMA
43571967,56226837,GERADO PELO SISTEMA
43572044,56221827,GERADO PELO SISTEMA
43531363,56217099,GERADO PELO MODELO
43531361,56216807,GERADO PELO MODELO
43531360,56216416,GERADO PELO MODELO
43572049,56180764,GERADO PELO SISTEMA
43531259,55988920,GERADO PELO MODELO
43531384,56274394,GERADO PELO MODELO
43531344,56190697,GERADO PELO MODELO
43531342,56190387,GERADO PELO MODELO
43572106,56136315,GERADO PELO SISTEMA
43572050,56503750,GERADO PELO SISTEMA
43571973,56190042,GERADO PELO SISTEMA
43571969,56274696,GERADO PELO SISTEMA
43572146,56190395,GERADO PELO SISTEMA
43531447,57035032,GERADO PELO MODELO
43572151,56625871,GERADO PELO SISTEMA
43572013,56053541,GERADO PELO SISTEMA
43572111,56158629,GERADO PELO SISTEMA
43531365,56217340,GERADO PELO MODELO
43531362,56216947,GERADO PELO MODELO
43572123,56053754,GERADO PELO SISTEMA
43572152,56054092,GERADO PELO SISTEMA
43572174,56216769,GERADO PELO SISTEMA
43572092,56110251,GERADO PELO SISTEMA
43572014,55952747,GERADO PELO SISTEMA
43571991,56053533,GERADO PELO SISTEMA
43571970,57888817,GERADO PELO SISTEMA
43531303,56158360,GERADO PELO MODELO
43531283,56116632,GERADO PELO MODELO
43531270,56053843,GERADO PELO MODELO
43531265,56051786,GERADO PELO MODELO
43572138,56158343,GERADO PELO SISTEMA
43572108,56051760,GERADO PELO SISTEMA
43572036,56158335,GERADO PELO SISTEMA
43531388,56276214,GERADO PELO MODELO
43531380,56239750,GERADO PELO MODELO
43531379,56239734,GERADO PELO MODELO
43531304,56158408,GERADO PELO MODELO
43531286,56117035,GERADO PELO MODELO
43531285,56117000,GERADO PELO MODELO
43531284,56116969,GERADO PELO MODELO
43531443,57011168,GERADO PELO MODELO
43531442,57010854,GERADO PELO MODELO
43531436,56623470,GERADO PELO MODELO
43531422,56547110,GERADO PELO MODELO
43572077,56116837,GERADO PELO SISTEMA
