Data da Verificação,Hidrômetro No,Ano de Inst.,Qn,Qt ,Qmín,Status,REP- P/N,APROVADO,STATUS,GERADO_PELO_MODELO
17/07/19,A01S054351,-,"-1,62","-1,80","-14,60",RP1,N,RP,1,2
17/07/19,A02S132591,-,"-9,86","-9,40","-99,80",RP3,N,RP,1,2
17/07/19,A06S700189,-,"-1,34","-1,20","-7,80",RP1,N,RP,1,2
17/07/19,A04S051625,-,"-1,52","0,00","-3,60",AP,,AP,0,2
17/07/19,A06S750103,-,"-0,38","-1,00","-3,40",AP,,AP,0,2
17/07/19,A04S405937,-,"-1,70","-1,00","-3,80",AP,,AP,0,2
17/07/19,A06S704251,-,"-1,98","-2,00","-3,80",AP,,AP,0,2
17/07/19,A03S406084,-,"0,14","1,60","2,00",AP,,AP,0,2
17/07/19,A04S220455,-,"-3,24","-2,60","-6,00",RP1,N,RP,1,2
17/07/19,A00S635142,-,"-1,84","-1,80","-14,20",RP1,N,RP,1,2
17/07/19,A06S518463,-,"-1,42","-0,60","-8,80",RP1,N,RP,1,2
17/07/19,A01S545017,-,"-3,62","-3,00","-32,80",RP1,N,RP,1,2
17/07/19,A02S687309,-,"-3,92","-8,00","-47,20",RP2,N,RP,1,2
17/07/19,A04S017231,-,"-0,32","0,80","-7,80",RP1,N,RP,1,0
17/07/19,A04S329993,-,"-0,48","-0,80","-35,80",RP1,N,RP,1,2
17/07/19,A03S581590,-,"-0,22","-0,20","5,00",AP,,AP,0,2
17/07/19,A04S120808,-,"-3,10","-4,00","-13,80",RP1,N,RP,1,2
17/07/19,A06S473878,-,"-100,00","-100,00","-100,00",RP1,N,RP,1,2
17/07/19,A05L142129,-,"-1,34","-1,20","-7,20",RP1,N,RP,1,2
17/07/19,A04L309457,-,"-1,76","0,00","-19,80",RP1,N,RP,1,2
17/07/19,A13F234123,-,"-1,94","-2,80","-99,80",RP1,N,RP,1,2
17/07/19,A12F284805,-,"-1,58","-0,40","-20,00",RP1,N,RP,1,2
17/07/19,A10F177222,-,"-2,94","-3,80","-22,40",RP1,N,RP,1,2
17/07/19,A09F095961,-,"-0,20","-1,80","-25,00",RP1,N,RP,1,2
17/07/19,A09F246392,-,"-2,98","-2,40","-23,80",RP1,N,RP,1,2
17/07/19,A12F346764,-,"0,68","-0,60","-2,60",AP,,AP,0,2
17/07/19,A06F351788,-,"-6,40","-4,50","-40,00",RP1,N,RP,1,2
17/07/19,A10F040305,-,"-0,60","-1,60","-16,20",RP1,N,RP,1,2
