ITA_SEQ_ITEM_ATENDIMENTO,IMO_COD_INSCRICAO,ORIGEM
43415894,6355668,GERADO PELO MODELO
43415893,6355366,GERADO PELO MODELO
43415892,6354963,GERADO PELO MODELO
43415847,5949726,GERADO PELO MODELO
43415704,2097419,GERADO PELO MODELO
43345933,8567417,GERADO PELO MODELO
43393464,6355226,GERADO PELA UNIDADE
43393734,2098610,GERADO PELA UNIDADE
43415885,6139981,GERADO PELO MODELO
43415884,6139779,GERADO PELO MODELO
43415862,6012094,GERADO PELO MODELO
43415722,2436582,GERADO PELO MODELO
43393794,2579065,GERADO PELA UNIDADE
43415920,7105100,GERADO PELO MODELO
43393763,8021821,GERADO PELA UNIDADE
43415891,6354130,GERADO PELO MODELO
43415826,5885809,GERADO PELO MODELO
43415825,5884934,GERADO PELO MODELO
43393671,5924480,GERADO PELA UNIDADE
43345967,10690131,GERADO PELO MODELO
43393749,2712105,GERADO PELA UNIDADE
43415938,8813027,GERADO PELO MODELO
43415874,6126278,GERADO PELO MODELO
43415840,5926742,GERADO PELO MODELO
43393799,9104895,GERADO PELA UNIDADE
43393667,2262894,GERADO PELA UNIDADE
43415928,7997159,GERADO PELO MODELO
43345913,7998449,GERADO PELO MODELO
43345912,7988060,GERADO PELO MODELO
43393472,14406802,GERADO PELA UNIDADE
43393534,3743063,GERADO PELA UNIDADE
43393729,3743144,GERADO PELA UNIDADE
43415750,3743187,GERADO PELO MODELO
43415749,3743160,GERADO PELO MODELO
43415911,6563244,GERADO PELO MODELO
43415940,9089942,GERADO PELO MODELO
43415857,5968305,GERADO PELO MODELO
43415881,6137393,GERADO PELO MODELO
43393614,6555098,GERADO PELA UNIDADE
43393746,6555179,GERADO PELA UNIDADE
43393778,6555306,GERADO PELA UNIDADE
43393497,6555462,GERADO PELA UNIDADE
43345902,7882203,GERADO PELO MODELO
43415882,6137512,GERADO PELO MODELO
43415740,3199789,GERADO PELO MODELO
43415739,3199770,GERADO PELO MODELO
43393575,3199797,GERADO PELA UNIDADE
43393716,3295834,GERADO PELA UNIDADE
43345969,10819690,GERADO PELO MODELO
43415869,6095577,GERADO PELO MODELO
43393673,6605834,GERADO PELA UNIDADE
43345887,7278276,GERADO PELO MODELO
43415864,6060579,GERADO PELO MODELO
43345953,9836047,GERADO PELO MODELO
43393831,3199509,GERADO PELA UNIDADE
43393630,3199363,GERADO PELA UNIDADE
43415723,2526972,GERADO PELO MODELO
43415757,3861198,GERADO PELO MODELO
43415756,3861090,GERADO PELO MODELO
43415728,2592487,GERADO PELO MODELO
43345886,7277628,GERADO PELO MODELO
43345885,7277415,GERADO PELO MODELO
43393675,3861147,GERADO PELA UNIDADE
43393507,7277393,GERADO PELA UNIDADE
43393798,10131876,GERADO PELA UNIDADE
43415889,6351298,GERADO PELO MODELO
43415724,2545055,GERADO PELO MODELO
43415700,759260,GERADO PELO MODELO
43393503,2545179,GERADO PELA UNIDADE
43345981,14341077,GERADO PELO MODELO
43415858,5977797,GERADO PELO MODELO
43415937,8659893,GERADO PELO MODELO
43415902,6386377,GERADO PELO MODELO
43415791,4468430,GERADO PELO MODELO
43415790,4468406,GERADO PELO MODELO
43415789,4468287,GERADO PELO MODELO
43345990,14374633,GERADO PELO MODELO
43393821,3745163,GERADO PELA UNIDADE
43345963,10458891,GERADO PELO MODELO
43393549,3745112,GERADO PELA UNIDADE
43393509,3745104,GERADO PELA UNIDADE
43393645,3743560,GERADO PELA UNIDADE
43393619,3743551,GERADO PELA UNIDADE
43393610,3745244,GERADO PELA UNIDADE
43393548,3745295,GERADO PELA UNIDADE
43415803,5193850,GERADO PELO MODELO
43393550,5193737,GERADO PELA UNIDADE
43393554,5189519,GERADO PELA UNIDADE
43393505,5190134,GERADO PELA UNIDADE
43393599,5189977,GERADO PELA UNIDADE
43415801,5190258,GERADO PELO MODELO
43393432,5190304,GERADO PELA UNIDADE
43393601,5190398,GERADO PELA UNIDADE
43393448,5190746,GERADO PELA UNIDADE
43393435,5190479,GERADO PELA UNIDADE
43415802,5191351,GERADO PELO MODELO
43393723,5190959,GERADO PELA UNIDADE
43393648,5190797,GERADO PELA UNIDADE
43393533,5191572,GERADO PELA UNIDADE
43393517,7226055,GERADO PELA UNIDADE
43415870,6102409,GERADO PELO MODELO
43345880,7226683,GERADO PELO MODELO
43393615,7226748,GERADO PELA UNIDADE
43393655,7227108,GERADO PELA UNIDADE
43393629,7227639,GERADO PELA UNIDADE
43393446,7227426,GERADO PELA UNIDADE
43345881,7228112,GERADO PELO MODELO
43345879,7226063,GERADO PELO MODELO
43345917,8259887,GERADO PELO MODELO
43415718,2309343,GERADO PELO MODELO
43415701,891789,GERADO PELO MODELO
43345936,8629285,GERADO PELO MODELO
43345931,8495599,GERADO PELO MODELO
43345930,8494959,GERADO PELO MODELO
43393649,5923433,GERADO PELA UNIDADE
43345921,8479178,GERADO PELO MODELO
43415932,8479747,GERADO PELO MODELO
43345978,14094207,GERADO PELO MODELO
43393441,2602040,GERADO PELA UNIDADE
43415934,8480362,GERADO PELO MODELO
