IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca,PROBA,EXISTE
A01S688149,56158360,0.3519324,26,0,5,-0.13333334,18,11,0,716,11,10.0,10.0,56158360,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,716",
A01S597222,57011214,0.13804723,26,1,4,0.12295082,18,11,0,697,11,17.0,17.0,57011214,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,697",
A10F518646,56191618,0.5144417,13,1,17,-0.56198347,9,8,0,693,11,10.0,10.0,56191618,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,693",
A10F546948,56549911,0.51436365,13,0,12,-0.63874346,9,8,0,"0,6904",11,20.0,20.0,56549911,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6904",
A01S064138,56088230,0.20793699,26,0,4,0.43939394,18,11,0,"0,6895",11,10.0,10.0,56088230,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6895",
A03S319659,56226730,0.13944852,26,0,5,0.19402985,16,10,0,689,11,10.0,10.0,56226730,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,689",
A01S687742,56172800,0.18157092,26,0,4,0.19259259,18,11,0,685,11,20.0,20.0,56172800,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,685",
A10F205140,56524790,0.11919178,13,0,3,0.2238806,9,9,0,684,11,9.0,9.0,56524790,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,684",
A04L199930,56216335,0.14344382,26,0,3,-0.16455697,15,11,0,682,11,9.0,9.0,56216335,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,682",
A04L626209,56169868,0.18445064,13,0,4,0.26785713,15,10,0,"0,6797",11,9.0,9.0,56169868,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6797",
