IMO_BSK_IMOVEL,GEO_SET_NUM_SETOR,GEO_LGE_DSC_LOCALIDADE_PRAX,GEO_LGE_DSC_DISTRITO_PRAX,GEO_LGE_DSC_MUNICIPIO_PRAX,GEO_UAD_SGL_UNIDADE_NEGOCIO,PIM_DSC_PADRAO_IMOVEL,SII_NOM_SITUACAO_IMOVEL,SLA_NOM_SITUACAO_LIG_AGUA,proba
10180699,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,694"
14340712,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,68"
14366576,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,678"
14352818,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6777"
10581472,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6772"
14341468,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,676"
6962955,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,675"
14053721,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,675"
5071925,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6743"
2483734,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6733"
14353210,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6733"
14362775,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6714"
5648653,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6704"
14351129,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6704"
7702442,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,M�DIO,EM USO,1,"0,6694"
5649200,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,667"
10287892,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6665"
7930879,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6655"
