IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca
A02S130531,5050405,0.28043023,13,4,1,0.21212122,17,9,0,0.61,11,10.0,10.0,5050405,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A00N321701,7256850,0.17147937,13,0,12,-0.077922076,19,10,0,0.6157,11,9.0,9.0,7256850,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A00S618180,7878800,0.9276552,13,4,7,45.0,19,11,0,0.6265,11,10.0,10.0,7878800,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A02S406537,7353260,0.15906844,13,0,4,0.2972973,17,11,0,0.648,11,10.0,10.0,7353260,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A02S436448,7699719,0.33292675,13,0,5,-0.45238096,17,11,0,0.592,11,9.0,9.0,7699719,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A02S754348,750042,0.13501543,13,0,6,0.20689656,17,10,0,0.6377,11,15.0,15.0,750042,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A03S406303,7134762,0.36742347,13,0,13,0.3768116,16,10,0,0.6494,11,10.0,10.0,7134762,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A04L201127,3075435,0.65874904,13,0,13,-0.43589744,15,7,0,0.577,11,20.0,20.0,3075435,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A04L054449,3075222,0.3020232,13,0,8,0.18888889,15,7,0,0.581,11,10.0,10.0,3075222,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A04L195564,3080358,0.16527107,13,0,6,-0.12941177,15,7,0,0.586,11,10.0,10.0,3080358,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A04S066709,2449250,0.20545644,13,0,4,0.44,15,7,0,0.603,11,10.0,10.0,2449250,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A04L327099,3080269,0.08042613,13,0,7,0.12295082,15,7,0,0.566,11,17.0,17.0,3080269,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A04L199828,4217845,0.15037665,13,1,6,0.19354838,15,7,0,0.6045,11,9.0,9.0,4217845,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A04L274470,5569346,0.14874707,13,0,5,0.13186814,15,7,0,0.599,11,13.0,13.0,5569346,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A04L270102,1614630,0.2703282,13,0,4,-0.34343433,15,7,0,0.568,11,10.0,10.0,1614630,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A04S158729,5649200,0.17266537,13,0,3,0.27941176,15,11,0,0.667,11,10.0,10.0,5649200,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A04L390973,2442965,0.17283322,13,1,3,-0.2929293,15,7,0,0.5615,11,10.0,10.0,2442965,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A04L452569,2456028,0.27068233,13,0,6,-0.13978495,15,7,0,0.576,11,10.0,10.0,2456028,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A04L335112,7702671,0.14624612,13,0,4,0.14906833,15,7,0,0.6045,11,20.0,20.0,7702671,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A04L390511,6749569,0.088510014,13,6,4,-0.025,15,11,0,0.631,11,10.0,10.0,6749569,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A04L317164,3075605,0.08252948,13,0,5,-0.11504425,15,7,0,0.553,11,13.0,13.0,3075605,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
