IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca,valido,PROBA
A09F061830,8260613,0.3467233,25,0,20,0.1495327,10,10,0,"0,8564",11,13.0,13.0,8260613,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,8564"
A09F098618,8480044,0.37715814,25,0,18,0.19480519,10,10,0,"0,8506",11,15.0,15.0,8480044,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,8506"
A11N315604,3857778,0.22997625,25,0,20,0.035460994,8,8,0,847,11,17.0,17.0,3857778,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,847"
A10F043798,6134416,0.16459171,25,0,20,-0.24844721,9,9,0,841,11,17.0,17.0,6134416,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,841"
A10F008199,2983745,0.952374,25,6,10,2.9230769,9,9,0,"0,8286",11,9.0,9.0,2983745,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,8286"
A09F208522,5963850,0.68357867,25,0,11,0.5405405,10,10,0,825,11,14.0,14.0,5963850,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,825"
A11N322118,2262185,0.10042116,25,0,9,0.06930693,8,8,0,"0,8237",11,14.0,14.0,2262185,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,8237"
A09F033562,5912822,0.3798357,25,0,10,0.6086956,10,10,0,823,11,14.0,14.0,5912822,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,823"
A10F089148,6138640,0.27993107,25,0,9,0.43362832,9,9,0,823,11,19.0,19.0,6138640,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,823"
A09F211161,3743187,0.65946364,25,1,9,0.47272727,10,10,0,"0,8213",11,9.0,9.0,3743187,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,8213"
A09F123989,2123029,0.11110149,25,0,9,0.116504855,10,10,0,"0,8193",11,15.0,15.0,2123029,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,8193"
A10F131071,6354130,0.62319785,25,1,9,1125,9,9,0,"0,8174",11,10.0,10.0,6354130,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,8174"
A10F089695,6108423,0.13352434,25,0,11,0.0625,9,9,0,817,11,15.0,15.0,6108423,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,817"
A10F088505,6139779,0.15293902,25,0,11,0.23863636,9,9,0,"0,8164",11,13.0,13.0,6139779,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,8164"
A09F098042,2120852,0.12216493,25,0,10,0.04950495,10,10,0,815,11,14.0,14.0,2120852,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,815"
A10F095476,6146171,0.5358242,25,2,15,1.2222222,9,9,0,815,11,10.0,10.0,6146171,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,815"
A10F254567,3200698,0.32947016,25,0,10,0.0945946,9,8,0,"0,8145",11,9.0,9.0,3200698,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,8145"
A10F037672,6132553,0.74362916,25,0,8,-0.64102566,9,9,0,"0,8135",11,10.0,10.0,6132553,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,8135"
A10F175041,6376746,0.20468046,25,0,13,0.36619717,9,9,0,813,11,13.0,13.0,6376746,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,813"
A11N248067,4466284,0.08392529,25,0,11,0.020833334,8,8,0,813,11,13.0,13.0,4466284,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,813"
A08F358668,2120763,0.27672383,25,0,15,0.16666667,11,10,0,"0,8125",11,14.0,14.0,2120763,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,8125"
A09F170811,4127722,0.5410173,25,0,14,0.21518987,10,10,0,"0,8125",11,14.0,14.0,4127722,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,8125"
A10F056013,6126278,0.18499915,25,0,12,0.3888889,9,9,0,"0,81",11,14.0,14.0,6126278,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,81"
