ORDEM_SERVICO,INSCRICAO
43016870,8213410
43016621,26174
43016622,49751
43016623,72575
43016625,211940
43016626,211958
43016627,212067
43016628,212300
43016629,212660
43016630,213136
43016631,213144
43016632,213268
43016633,213748
43016634,213985
43016635,214205
43016636,214221
43016637,214680
43016638,215171
43016639,218510
43016640,219193
43016642,229121
43016643,233960
43016644,240796
43016645,242390
43016646,242918
43016647,242926
43016648,243175
43016649,243647
43016650,243744
43016651,243809
43016652,243850
43016653,244392
43016654,244422
43016655,244600
43016656,244910
43016657,246662
43016658,247600
43016659,247715
43016660,247774
43016662,248045
43016663,248150
43016664,248215
43016665,248282
43016666,249076
43016667,249173
43016668,249580
43016669,249700
43016670,249742
43016671,249971
43016672,250031
43016673,250317
43016674,250961
43016675,251143
43016676,251321
43016677,252174
43016678,252255
43016679,252484
43016680,252670
43016681,253111
43016682,253316
43016683,254258
43016684,254932
43016685,255017
43016686,255475
43016687,255700
43016688,256510
43016689,256587
43016690,257087
43016691,257850
43016692,258326
43016693,259152
43016694,260088
43016695,691623
43016696,691933
43016697,695530
43016698,700711
43016699,815047
43016700,815292
43016701,815420
43016702,815535
43016703,815667
43016704,815900
43016705,815918
43016706,816850
43016707,817104
43016708,817465
43016709,817856
43016710,817953
43016711,818437
43016712,819042
43016713,819441
43016714,820164
43016715,828084
43016716,828092
43016717,828157
43016718,828238
43016719,829056
43016720,829072
43016721,829609
43016722,829692
43016723,829790
43016724,830135
43016725,830194
43016726,830267
43016727,830470
43016728,830798
43016729,831093
43016730,831107
43016731,831220
43016732,831522
43016733,831581
43016734,832065
43016735,832413
43016736,832421
43016738,833029
43016739,833266
43016740,833380
43016741,833410
43016742,1039768
43016743,1369520
43016744,1369717
43016745,1549383
43016746,1550390
43016747,1739247
43016748,2193973
43016749,2195933
43016750,2200880
43016751,2202956
43016752,2203197
43016753,2344173
43016755,2634562
43016756,2722003
43016757,2730189
43016758,2731746
43016759,2771136
43016760,2772299
43016761,2772442
43016762,2784122
43016763,3577490
43016764,3618455
43016765,4175425
43016766,4178114
43016767,4178300
43016768,4179560
43016769,4183614
43016770,4186737
43016771,4228286
43016772,4228294
43016773,4937490
43016774,5241901
43016775,5663393
43016776,5716420
43016777,5720710
43016778,5721210
43016779,5721415
43016780,5721610
43016781,5795060
43016782,5817625
43016783,5819210
43016784,5819660
43016785,6172881
43016786,6236189
43016787,6256180
43016788,6269044
43016789,6269141
43016790,6289800
43016791,6326293
43016792,6429009
43016793,6433499
43016794,6439276
43016795,6441254
43016796,6444989
43016797,6454089
43016798,6671381
43016799,7082550
43016800,7089791
43016801,7091389
43016802,8180024
43016803,8180067
43016804,8183104
43016810,8190593
43016811,8190747
43016812,8191050
43016813,8191484
43016814,8197121
43016815,8197687
43016816,8198233
43016817,8198691
43016818,8198705
43016819,8200998
43016820,8201048
43016821,8201080
43016822,8201099
43016823,8201498
43016824,8201862
43016825,8202192
43016826,8202940
43016827,8203075
43016828,8203270
43016829,8203326
43016830,8203709
43016831,8203733
43016832,8203768
43016833,8203946
43016834,8204160
43016835,8204322
43016836,8204403
43016837,8204454
43016838,8204691
43016839,8204721
43016840,8204829
43016841,8204969
43016842,8205396
43016843,8205582
43016844,8206058
43016845,8206228
43016846,8207771
43016847,8208735
43016848,8209090
43016849,8209111
43016850,8209251
43016851,8209260
